Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum,clustering
101,,,7,5,12,7,5,12,0,1115,0.041667
100,,,8,12,20,8,12,20,0,1115,0.265152
103,,,1,0,1,1,0,1,0,203,0
105,,,2,1,3,2,1,3,0,1115,1
106,,,1,1,2,1,1,2,0,1115,0
107,,,2,2,4,2,2,4,0,1115,0
108,,,6,4,10,6,4,10,0,1115,0.3
109,,,6,5,11,6,5,11,0,1115,0.261905
110,,,15,12,27,15,12,27,0,1115,0.285714
111,,,6,5,11,6,5,11,0,1115,0.3
112,,,14,26,40,14,26,40,0,1115,0.058462
115,,,24,32,56,24,32,56,0,1115,0.121951
114,,,9,6,15,9,6,15,0,1115,0.180556
119,,,3,3,6,3,3,6,0,1115,0.083333
122,,,1,2,3,1,2,3,0,1115,1
127,,,3,2,5,3,2,5,0,1115,0.333333
129,,,6,2,8,6,2,8,0,1115,0.233333
116,,,1,1,2,1,1,2,0,1115,0
131,,,1,0,1,1,0,1,0,204,0
132,,,32,32,64,32,32,64,0,1115,0.106061
133,,,2,2,4,2,2,4,0,1115,0
113,,,36,42,78,36,42,78,0,1115,0.070267
125,,,8,8,16,8,8,16,0,1115,0.333333
135,,,93,92,185,93,92,185,0,1115,0.064636
134,,,12,11,23,12,11,23,0,1115,0.198718
137,,,2,2,4,2,2,4,0,1115,1
138,,,2,2,4,2,2,4,0,1115,1
140,,,1,1,2,1,1,2,0,1115,0
141,,,21,21,42,21,21,42,0,1115,0.090909
139,,,3,4,7,3,4,7,0,1115,0.416667
142,,,11,11,22,11,11,22,0,1115,0.218182
143,,,20,22,42,20,22,42,0,1115,0.112319
144,,,41,43,84,41,43,84,0,1115,0.063131
145,,,1,1,2,1,1,2,0,1115,0
146,,,15,15,30,15,15,30,0,1115,0.0625
147,,,3,2,5,3,2,5,0,1115,0.333333
148,,,5,5,10,5,5,10,0,1115,0.1
93,,,13,12,25,13,12,25,0,1115,0.058333
149,,,28,36,64,28,36,64,0,1115,0.096728
150,,,3,5,8,3,5,8,0,1115,0.1
152,,,10,3,13,10,3,13,0,1115,0.090909
153,,,6,4,10,6,4,10,0,1115,0.533333
154,,,1,1,2,1,1,2,0,1115,0
155,,,2,3,5,2,3,5,0,1115,0.333333
156,,,7,7,14,7,7,14,0,1115,0.375
157,,,2,2,4,2,2,4,0,1115,1
158,,,3,1,4,3,1,4,0,1115,0.333333
160,,,7,7,14,7,7,14,0,1115,0.047619
161,,,3,3,6,3,3,6,0,1115,0.333333
162,,,2,2,4,2,2,4,0,1115,1
163,,,8,9,17,8,9,17,0,1115,0.083333
165,,,2,1,3,2,1,3,0,1115,0.5
166,,,13,13,26,13,13,26,0,1115,0.131868
167,,,11,10,21,11,10,21,0,1115,0.203297
168,,,1,1,2,1,1,2,0,1115,0
169,,,2,1,3,2,1,3,0,1115,0
170,,,1,1,2,1,1,2,0,1115,0
171,,,50,53,103,50,53,103,0,1115,0.060797
172,,,1,1,2,1,1,2,0,1115,0
173,,,4,3,7,4,3,7,0,1115,0.083333
174,,,4,4,8,4,4,8,0,1115,0.25
175,,,1,1,2,1,1,2,0,1115,0
176,,,3,4,7,3,4,7,0,1115,0.166667
177,,,9,10,19,9,10,19,0,1115,0.1
178,,,34,37,71,34,37,71,0,1115,0.070513
179,,,7,2,9,7,2,9,0,1115,0.142857
180,,,10,9,19,10,9,19,0,1115,0.111111
181,,,6,5,11,6,5,11,0,1115,0.233333
159,,,24,24,48,24,24,48,0,1115,0.049858
182,,,1,1,2,1,1,2,0,1115,0
183,,,3,3,6,3,3,6,0,1115,0
184,,,19,23,42,19,23,42,0,1115,0.109231
185,,,2,2,4,2,2,4,0,1115,0
186,,,12,11,23,12,11,23,0,1115,0.05303
187,,,1,1,2,1,1,2,0,1115,0
33,,,32,32,64,32,32,64,0,1115,0.216856
188,,,2,2,4,2,2,4,0,1115,0
189,,,3,2,5,3,2,5,0,1115,0.333333
190,,,1,1,2,1,1,2,0,1115,0
191,,,3,2,5,3,2,5,0,1115,0.333333
192,,,17,18,35,17,18,35,0,1115,0.219203
193,,,2,2,4,2,2,4,0,1115,1
194,,,3,3,6,3,3,6,0,1115,0.166667
195,,,1,1,2,1,1,2,0,1115,0
196,,,1,1,2,1,1,2,0,1115,0
198,,,50,45,95,50,45,95,0,1115,0.047059
199,,,4,6,10,4,6,10,0,1115,0.133333
200,,,7,8,15,7,8,15,0,1115,0.138889
201,,,4,2,6,4,2,6,0,1115,0
202,,,115,127,242,115,127,242,0,1115,0.03045
203,,,9,10,19,9,10,19,0,1115,0.111111
204,,,31,24,55,31,24,55,0,1115,0.055258
205,,,1,0,1,1,0,1,0,245,0
206,,,15,15,30,15,15,30,0,1115,0.1125
207,,,7,6,13,7,6,13,0,1115,0.047619
209,,,30,27,57,30,27,57,0,1115,0.033333
210,,,1,1,2,1,1,2,0,1115,0
120,,,6,5,11,6,5,11,0,1115,0.380952
211,,,2,1,3,2,1,3,0,1115,0
212,,,6,6,12,6,6,12,0,1115,0.452381
213,,,1,1,2,1,1,2,0,1115,0
214,,,14,12,26,14,12,26,0,1115,0.071429
215,,,53,54,107,53,54,107,0,1115,0.093985
216,,,9,9,18,9,9,18,0,1115,0.022222
217,,,3,3,6,3,3,6,0,1115,0.166667
218,,,2,1,3,2,1,3,0,1115,1
219,,,18,18,36,18,18,36,0,1115,0.077075
220,,,1,0,1,1,0,1,0,191,0
223,,,11,0,11,11,0,11,0,27,0.281818
224,,,7,8,15,7,8,15,0,1115,0.178571
225,,,3,6,9,3,6,9,0,1115,0.066667
227,,,6,6,12,6,6,12,0,1115,0.2
228,,,13,14,27,13,14,27,0,1115,0.057143
230,,,32,5,37,32,5,37,0,1115,0.045455
231,,,4,4,8,4,4,8,0,1115,0
232,,,1,1,2,1,1,2,0,1115,0
233,,,3,1,4,3,1,4,0,1115,0
208,,,2,2,4,2,2,4,0,1115,0
234,,,3,2,5,3,2,5,0,1115,0
235,,,13,9,22,13,9,22,0,1115,0.049451
222,,,13,12,25,13,12,25,0,1115,0.032051
236,,,2,3,5,2,3,5,0,1115,0
237,,,1,1,2,1,1,2,0,1115,0
238,,,6,8,14,6,8,14,0,1115,0.089286
239,,,8,11,19,8,11,19,0,1115,0.1
240,,,4,3,7,4,3,7,0,1115,0.5
241,,,5,7,12,5,7,12,0,1115,0.125
242,,,16,14,30,16,14,30,0,1115,0.058824
244,,,5,4,9,5,4,9,0,1115,0.133333
164,,,4,5,9,4,5,9,0,1115,0
245,,,11,4,15,11,4,15,0,1115,0.281818
246,,,5,3,8,5,3,8,0,1115,0.2
247,,,1,1,2,1,1,2,0,1115,0
248,,,2,3,5,2,3,5,0,1115,0
250,,,3,2,5,3,2,5,0,1115,0.333333
251,,,9,8,17,9,8,17,0,1115,0.291667
249,,,20,20,40,20,20,40,0,1115,0.044737
243,,,9,12,21,9,12,21,0,1115,0.108974
252,,,1,1,2,1,1,2,0,1115,0
253,,,0,1,1,0,1,1,0,1116,0
255,,,1,2,3,1,2,3,0,1115,0
256,,,33,32,65,33,32,65,0,1115,0.040476
257,,,18,93,111,18,93,111,0,1115,0.010862
258,,,2,2,4,2,2,4,0,1115,0
259,,,2,3,5,2,3,5,0,1115,0
260,,,3,0,3,3,0,3,0,190,0.333333
261,,,8,7,15,8,7,15,0,1115,0.107143
262,,,7,6,13,7,6,13,0,1115,0.095238
263,,,2,2,4,2,2,4,0,1115,1
264,,,2,0,2,2,0,2,0,186,1
265,,,5,3,8,5,3,8,0,1115,0.35
266,,,17,18,35,17,18,35,0,1115,0.065789
267,,,1,1,2,1,1,2,0,1115,0
268,,,5,5,10,5,5,10,0,1115,0.033333
229,,,4,3,7,4,3,7,0,1115,0.25
221,,,8,8,16,8,8,16,0,1115,0.166667
269,,,5,4,9,5,4,9,0,1115,0.166667
271,,,2,2,4,2,2,4,0,1115,0.5
272,,,12,9,21,12,9,21,0,1115,0.075758
273,,,25,27,52,25,27,52,0,1115,0.045567
274,,,21,17,38,21,17,38,0,1115,0.070652
275,,,2,1,3,2,1,3,0,1115,0
276,,,6,5,11,6,5,11,0,1115,0.133333
270,,,37,47,84,37,47,84,0,1115,0.070153
277,,,2,1,3,2,1,3,0,1115,0
279,,,2,1,3,2,1,3,0,1115,1
278,,,4,3,7,4,3,7,0,1115,0.3
280,,,58,59,117,58,59,117,0,1115,0.044421
281,,,1,0,1,1,0,1,0,569,0
282,,,6,5,11,6,5,11,0,1115,0
283,,,15,13,28,15,13,28,0,1115,0.071429
284,,,8,10,18,8,10,18,0,1115,0.044444
285,,,6,6,12,6,6,12,0,1115,0.3
286,,,2,2,4,2,2,4,0,1115,0
287,,,1,1,2,1,1,2,0,1115,0
288,,,7,7,14,7,7,14,0,1115,0.160714
290,,,1,1,2,1,1,2,0,1115,0
291,,,1,1,2,1,1,2,0,1115,0
292,,,2,1,3,2,1,3,0,1115,0
293,,,6,4,10,6,4,10,0,1115,0.238095
294,,,1,1,2,1,1,2,0,1115,0
295,,,21,24,45,21,24,45,0,1115,0.038333
296,,,6,1,7,6,1,7,0,1115,0.266667
297,,,3,2,5,3,2,5,0,1115,0.166667
298,,,10,8,18,10,8,18,0,1115,0
299,,,2,2,4,2,2,4,0,1115,0
301,,,4,4,8,4,4,8,0,1115,0.166667
302,,,1,0,1,1,0,1,0,521,0
303,,,1,1,2,1,1,2,0,1115,0
304,,,100,104,204,100,104,204,0,1115,0.071439
254,,,4,5,9,4,5,9,0,1115,0.266667
305,,,1,1,2,1,1,2,0,1115,0
306,,,1,1,2,1,1,2,0,1115,0
307,,,2,1,3,2,1,3,0,1115,0
308,,,13,11,24,13,11,24,0,1115,0.185897
309,,,34,45,79,34,45,79,0,1115,0.132143
310,,,7,4,11,7,4,11,0,1115,0.236111
311,,,1,1,2,1,1,2,0,1115,0
312,,,11,12,23,11,12,23,0,1115,0.083333
314,,,2,2,4,2,2,4,0,1115,0
313,,,2,3,5,2,3,5,0,1115,0
315,,,2,0,2,2,0,2,0,202,0
316,,,2,2,4,2,2,4,0,1115,0
317,,,4,4,8,4,4,8,0,1115,0
318,,,4,6,10,4,6,10,0,1115,0.166667
319,,,8,8,16,8,8,16,0,1115,0
320,,,5,5,10,5,5,10,0,1115,0.233333
322,,,8,11,19,8,11,19,0,1115,0.174242
323,,,1,1,2,1,1,2,0,1115,0
324,,,5,5,10,5,5,10,0,1115,0.35
325,,,11,12,23,11,12,23,0,1115,0.05303
326,,,1,1,2,1,1,2,0,1115,0
321,,,6,5,11,6,5,11,0,1115,0.266667
327,,,1,1,2,1,1,2,0,1115,0
328,,,3,1,4,3,1,4,0,1115,0.166667
329,,,1,1,2,1,1,2,0,1115,0
334,,,1,0,1,1,0,1,0,195,0
338,,,1,0,1,1,0,1,0,194,0
345,,,4,4,8,4,4,8,0,1115,0
346,,,22,25,47,22,25,47,0,1115,0.025
289,,,1,1,2,1,1,2,0,1115,0
347,,,8,4,12,8,4,12,0,1115,0.035714
349,,,1,1,2,1,1,2,0,1115,0
340,,,6,5,11,6,5,11,0,1115,0.035714
336,,,1,0,1,1,0,1,0,193,0
350,,,28,27,55,28,27,55,0,1115,0.121693
352,,,1,2,3,1,2,3,0,1115,0
353,,,85,86,171,85,86,171,0,1115,0.106307
354,,,1,1,2,1,1,2,0,1115,0
355,,,1,1,2,1,1,2,0,1115,0
356,,,4,4,8,4,4,8,0,1115,0.416667
357,,,4,3,7,4,3,7,0,1115,0
359,,,12,11,23,12,11,23,0,1115,0.095833
339,,,2,3,5,2,3,5,0,1115,0.333333
360,,,2,1,3,2,1,3,0,1115,0
366,,,5,7,12,5,7,12,0,1115,0.071429
367,,,1,1,2,1,1,2,0,1115,0
368,,,1,1,2,1,1,2,0,1115,0
358,,,2,2,4,2,2,4,0,1115,1
370,,,1,1,2,1,1,2,0,1115,0
371,,,1,2,3,1,2,3,0,1115,0
372,,,6,6,12,6,6,12,0,1115,0.066667
363,,,35,35,70,35,35,70,0,1115,0.135256
375,,,3,2,5,3,2,5,0,1115,0
377,,,3,2,5,3,2,5,0,1115,0
374,,,11,10,21,11,10,21,0,1115,0.204545
378,,,10,8,18,10,8,18,0,1115,0.144444
379,,,1,1,2,1,1,2,0,1115,0
380,,,4,3,7,4,3,7,0,1115,0.333333
382,,,1,1,2,1,1,2,0,1115,0
383,,,18,16,34,18,16,34,0,1115,0.026316
384,,,12,12,24,12,12,24,0,1115,0.115385
385,,,1,1,2,1,1,2,0,1115,0
386,,,11,10,21,11,10,21,0,1115,0.163636
348,,,4,3,7,4,3,7,0,1115,0
387,,,18,17,35,18,17,35,0,1115,0.049708
388,,,1,1,2,1,1,2,0,1115,0
389,,,2,2,4,2,2,4,0,1115,0
390,,,9,10,19,9,10,19,0,1115,0.055556
391,,,1,1,2,1,1,2,0,1115,0
392,,,3,2,5,3,2,5,0,1115,0
330,,,9,7,16,9,7,16,0,1115,0.155556
351,,,3,2,5,3,2,5,0,1115,0.333333
393,,,11,12,23,11,12,23,0,1115,0.136364
342,,,16,17,33,16,17,33,0,1115,0.137427
395,,,11,23,34,11,23,34,0,1115,0.134058
396,,,12,11,23,12,11,23,0,1115,0.083333
397,,,1,5,6,1,5,6,0,1115,0.05
399,,,18,16,34,18,16,34,0,1115,0.084967
400,,,1,1,2,1,1,2,0,1115,0
401,,,8,8,16,8,8,16,0,1115,0.035714
402,,,8,8,16,8,8,16,0,1115,0.071429
403,,,1,1,2,1,1,2,0,1115,0
404,,,6,6,12,6,6,12,0,1115,0.066667
405,,,19,19,38,19,19,38,0,1115,0.057143
406,,,3,3,6,3,3,6,0,1115,0
407,,,2,0,2,2,0,2,0,251,0
408,,,14,11,25,14,11,25,0,1115,0.043956
409,,,3,3,6,3,3,6,0,1115,0
410,,,5,4,9,5,4,9,0,1115,0.166667
411,,,3,3,6,3,3,6,0,1115,0.333333
412,,,10,8,18,10,8,18,0,1115,0.022222
414,,,1,1,2,1,1,2,0,1115,1
415,,,20,18,38,20,18,38,0,1115,0.068421
418,,,14,13,27,14,13,27,0,1115,0.054945
300,,,3,3,6,3,3,6,0,1115,0
421,,,5,6,11,5,6,11,0,1115,0.133333
423,,,7,6,13,7,6,13,0,1115,0
333,,,1,1,2,1,1,2,0,1115,0
341,,,1,0,1,1,0,1,0,189,0
427,,,11,16,27,11,16,27,0,1115,0.033333
428,,,4,2,6,4,2,6,0,1115,0
429,,,1,1,2,1,1,2,0,1115,0
332,,,2,3,5,2,3,5,0,1115,0.166667
394,,,12,11,23,12,11,23,0,1115,0.022727
430,,,1,1,2,1,1,2,0,1115,0
432,,,2,3,5,2,3,5,0,1115,0.083333
433,,,5,5,10,5,5,10,0,1115,0
434,,,1,1,2,1,1,2,0,1115,0
435,,,2,2,4,2,2,4,0,1115,0
436,,,13,13,26,13,13,26,0,1115,0.012821
437,,,3,1,4,3,1,4,0,1115,0
438,,,2,2,4,2,2,4,0,1115,1
439,,,2,6,8,2,6,8,0,1115,0
441,,,8,8,16,8,8,16,0,1115,0.138889
442,,,1,1,2,1,1,2,0,1115,0
443,,,13,16,29,13,16,29,0,1115,0.029412
440,,,2,2,4,2,2,4,0,1115,0
444,,,1,2,3,1,2,3,0,1115,0
445,,,1,1,2,1,1,2,0,1115,0
446,,,19,20,39,19,20,39,0,1115,0.136364
365,,,3,2,5,3,2,5,0,1115,0
448,,,4,3,7,4,3,7,0,1115,0.15
449,,,4,2,6,4,2,6,0,1115,0.15
431,,,2,1,3,2,1,3,0,1115,0
450,,,1,1,2,1,1,2,0,1115,0
451,,,2,2,4,2,2,4,0,1115,0
452,,,21,21,42,21,21,42,0,1115,0.030797
453,,,3,3,6,3,3,6,0,1115,0
454,,,3,3,6,3,3,6,0,1115,0
455,,,10,8,18,10,8,18,0,1115,0.077778
456,,,1,1,2,1,1,2,0,1115,0
457,,,1,2,3,1,2,3,0,1115,0
416,,,16,16,32,16,16,32,0,1115,0.079167
458,,,2,2,4,2,2,4,0,1115,0
459,,,2,4,6,2,4,6,0,1115,0
460,,,2,5,7,2,5,7,0,1115,0.2
464,,,4,5,9,4,5,9,0,1115,0.2
465,,,14,11,25,14,11,25,0,1115,0.208791
466,,,2,2,4,2,2,4,0,1115,0
467,,,4,3,7,4,3,7,0,1115,0.25
468,,,59,62,121,59,62,121,0,1115,0.050691
463,,,5,4,9,5,4,9,0,1115,0.15
469,,,14,15,29,14,15,29,0,1115,0.057143
462,,,15,13,28,15,13,28,0,1115,0.016667
470,,,2,2,4,2,2,4,0,1115,0
471,,,1,1,2,1,1,2,0,1115,0
472,,,15,4,19,15,4,19,0,1115,0.171429
473,,,1,1,2,1,1,2,0,1115,0
369,,,1,0,1,1,0,1,0,187,0
425,,,25,31,56,25,31,56,0,1115,0.249249
417,,,7,8,15,7,8,15,0,1115,0.088889
475,,,9,9,18,9,9,18,0,1115,0
476,,,16,16,32,16,16,32,0,1115,0.01462
197,,,3,0,3,3,0,3,0,519,0.333333
477,,,3,2,5,3,2,5,0,1115,0
478,,,3,2,5,3,2,5,0,1115,0
424,,,3,3,6,3,3,6,0,1115,0.666667
479,,,5,6,11,5,6,11,0,1115,0
376,,,1,0,1,1,0,1,0,185,0
373,,,1,0,1,1,0,1,0,184,0
420,,,1,0,1,1,0,1,0,183,0
480,,,15,16,31,15,16,31,0,1115,0.095833
398,,,1,1,2,1,1,2,0,1115,0
481,,,37,36,73,37,36,73,0,1115,0.121916
482,,,1,1,2,1,1,2,0,1115,0
483,,,1,0,1,1,0,1,0,246,0
484,,,22,26,48,22,26,48,0,1115,0.076923
485,,,1,1,2,1,1,2,0,1115,0
486,,,4,4,8,4,4,8,0,1115,0.25
487,,,2,0,2,2,0,2,0,404,1
488,,,9,9,18,9,9,18,0,1115,0.138889
489,,,10,10,20,10,10,20,0,1115,0.066667
490,,,2,3,5,2,3,5,0,1115,0
492,,,53,50,103,53,50,103,0,1115,0.056704
493,,,17,18,35,17,18,35,0,1115,0.097619
494,,,8,9,17,8,9,17,0,1115,0.166667
447,,,3,3,6,3,3,6,0,1115,0.666667
495,,,11,13,24,11,13,24,0,1115,0.051282
496,,,3,4,7,3,4,7,0,1115,0
497,,,4,3,7,4,3,7,0,1115,0
499,,,6,6,12,6,6,12,0,1115,0.047619
500,,,5,7,12,5,7,12,0,1115,0.089286
501,,,4,4,8,4,4,8,0,1115,0.25
502,,,12,10,22,12,10,22,0,1115,0.05303
491,,,18,19,37,18,19,37,0,1115,0.047368
503,,,2,2,4,2,2,4,0,1115,0
504,,,1,0,1,1,0,1,0,192,0
505,,,1,1,2,1,1,2,0,1115,0
506,,,2,4,6,2,4,6,0,1115,0.166667
498,,,2,3,5,2,3,5,0,1115,0.166667
507,,,3,4,7,3,4,7,0,1115,0.1
331,,,2,1,3,2,1,3,0,1115,0
508,,,4,4,8,4,4,8,0,1115,0
509,,,3,4,7,3,4,7,0,1115,0.333333
510,,,2,2,4,2,2,4,0,1115,1
511,,,1,1,2,1,1,2,0,1115,0
512,,,4,3,7,4,3,7,0,1115,0.333333
513,,,2,2,4,2,2,4,0,1115,1
514,,,5,5,10,5,5,10,0,1115,0
515,,,2,2,4,2,2,4,0,1115,0
516,,,5,5,10,5,5,10,0,1115,0.2
517,,,3,3,6,3,3,6,0,1115,0
422,,,1,0,1,1,0,1,0,177,0
518,,,5,5,10,5,5,10,0,1115,0
337,,,1,0,1,1,0,1,0,176,0
519,,,1,1,2,1,1,2,0,1115,1
520,,,18,19,37,18,19,37,0,1115,0.040936
381,,,1,0,1,1,0,1,0,175,0
521,,,10,10,20,10,10,20,0,1115,0.163636
362,,,1,0,1,1,0,1,0,174,0
522,,,34,34,68,34,34,68,0,1115,0.128571
523,,,60,45,105,60,45,105,0,1115,0.026923
524,,,1,1,2,1,1,2,0,1115,0
364,,,1,0,1,1,0,1,0,173,0
413,,,1,0,1,1,0,1,0,172,0
525,,,2,2,4,2,2,4,0,1115,0
361,,,47,80,127,47,80,127,0,1115,0.116753
526,,,4,4,8,4,4,8,0,1115,0.166667
527,,,2,2,4,2,2,4,0,1115,0
529,,,1,1,2,1,1,2,0,1115,0
530,,,11,10,21,11,10,21,0,1115,0.090909
531,,,1,1,2,1,1,2,0,1115,0
532,,,3,4,7,3,4,7,0,1115,0.166667
533,,,13,15,28,13,15,28,0,1115,0.091667
534,,,10,8,18,10,8,18,0,1115,0.072727
535,,,27,16,43,27,16,43,0,1115,0.046798
536,,,4,4,8,4,4,8,0,1115,0.25
537,,,54,56,110,54,56,110,0,1115,0.095433
538,,,9,8,17,9,8,17,0,1115,0.111111
539,,,18,19,37,18,19,37,0,1115,0.05336
540,,,43,47,90,43,47,90,0,1115,0.107993
541,,,1,1,2,1,1,2,0,1115,0
419,,,7,7,14,7,7,14,0,1115,0
542,,,3,3,6,3,3,6,0,1115,0.333333
335,,,1,0,1,1,0,1,0,171,0
543,,,1,1,2,1,1,2,0,1115,0
544,,,2,2,4,2,2,4,0,1115,0
545,,,79,23,102,79,23,102,0,1115,0.073051
546,,,144,167,311,144,167,311,0,1115,0.040376
547,,,15,17,32,15,17,32,0,1115,0.110294
548,,,5,3,8,5,3,8,0,1115,0.1
549,,,2,2,4,2,2,4,0,1115,0
426,,,1,0,1,1,0,1,0,170,0
550,,,44,51,95,44,51,95,0,1115,0.165457
552,,,1,1,2,1,1,2,0,1115,0
553,,,2,1,3,2,1,3,0,1115,0
554,,,9,8,17,9,8,17,0,1115,0.027778
555,,,1,2,3,1,2,3,0,1115,0
556,,,2,1,3,2,1,3,0,1115,0
557,,,3,3,6,3,3,6,0,1115,0.083333
558,,,3,2,5,3,2,5,0,1115,0
559,,,3,3,6,3,3,6,0,1115,0
560,,,2,2,4,2,2,4,0,1115,0
561,,,10,8,18,10,8,18,0,1115,0.055556
562,,,2,2,4,2,2,4,0,1115,0
563,,,8,9,17,8,9,17,0,1115,0.044444
564,,,5,5,10,5,5,10,0,1115,0.2
565,,,1,1,2,1,1,2,0,1115,0
566,,,9,8,17,9,8,17,0,1115,0.097222
551,,,2,0,2,2,0,2,0,403,1
567,,,3,3,6,3,3,6,0,1115,0
569,,,2,3,5,2,3,5,0,1115,0.666667
570,,,18,19,37,18,19,37,0,1115,0.023392
571,,,6,5,11,6,5,11,0,1115,0.2
572,,,2,2,4,2,2,4,0,1115,0
573,,,5,5,10,5,5,10,0,1115,0.1
575,,,1,1,2,1,1,2,0,1115,0
474,,,1,1,2,1,1,2,0,1115,0
577,,,8,7,15,8,7,15,0,1115,0.035714
578,,,9,9,18,9,9,18,0,1115,0.027778
528,,,1,1,2,1,1,2,0,1115,0
580,,,1,1,2,1,1,2,0,1115,0
581,,,1,2,3,1,2,3,0,1115,0
582,,,2,1,3,2,1,3,0,1115,1
583,,,4,3,7,4,3,7,0,1115,0
584,,,1,1,2,1,1,2,0,1115,0
585,,,9,10,19,9,10,19,0,1115,0.022222
586,,,4,4,8,4,4,8,0,1115,0
587,,,5,5,10,5,5,10,0,1115,0.05
589,,,2,2,4,2,2,4,0,1115,0
590,,,6,1,7,6,1,7,0,1115,0.133333
592,,,55,56,111,55,56,111,0,1115,0.117208
579,,,15,13,28,15,13,28,0,1115,0.214286
343,,,1,0,1,1,0,1,0,169,0
594,,,4,2,6,4,2,6,0,1115,0.5
595,,,2,1,3,2,1,3,0,1115,0
596,,,1,1,2,1,1,2,0,1115,0
597,,,3,2,5,3,2,5,0,1115,0
588,,,2,2,4,2,2,4,0,1115,0.333333
598,,,9,8,17,9,8,17,0,1115,0.055556
599,,,1,1,2,1,1,2,0,1115,0
600,,,1,1,2,1,1,2,0,1115,0
601,,,1,1,2,1,1,2,0,1115,0
602,,,1,1,2,1,1,2,0,1115,0
603,,,1,1,2,1,1,2,0,1115,0
604,,,1,1,2,1,1,2,0,1115,0
591,,,4,4,8,4,4,8,0,1115,0
605,,,4,4,8,4,4,8,0,1115,0.166667
606,,,15,16,31,15,16,31,0,1115,0.058824
607,,,1,1,2,1,1,2,0,1115,0
608,,,8,8,16,8,8,16,0,1115,0.142857
609,,,1,1,2,1,1,2,0,1115,0
610,,,6,6,12,6,6,12,0,1115,0.133333
611,,,1,1,2,1,1,2,0,1115,0
